Aanpassen 	To adjust
Anderzijds  	on the other hand
beleid (het)  	policy
benzine 	gasoline
bereid	prepared
bestuur (het)	Directors (the)
betrekken	involve
broek	pants
brug	bridge
caravan	caravan
delen	share
gemeenschap	community
goedemorgen	good morning
gulden	guilder
haar	her
heel	very
hout (het)	wood (the)
inmiddels	in the meantime
jammer	Unfortunately
jawel	Yes
juffrouw	miss(unmarried woman)
kamer	room
kelder	cellar(basement)
luisteren	listen
mee	with it
meerderheid	majority
opheffen	raise
sigaret	cigarette
spelen	play
toneel (het)	theater (it)
tussen (vz)	between (vz)
uitvoerig	detailed
verbergen	hide
weer (het)	again (it)
zelfs	even
zingen	to sing
zuster	sister
zwijgen	keep silent
aankomst	arrival
aankondigen	to announce
aanvaarden	accept
achter (vz)	rear (vz)
achterblijven	stay behind
achteruit	backwards
activiteit	activity
afhankelijk	dependent
allebei	both
alleen	only
allemaal	all of them
alles	everything
ander	other
anderhalf	one and a half
antwoord (het)	answer it)
artikel (het)	article (it)
basis	base
bijdrage	contribution
dal (het)	dal (it)
film	movie
genieten	to enjoy
geval (het)	case (it)
gezondheid	health
hartelijk	warmly
heuvel	hill
kunstenaar	artist
lukken	work out
macht	power
opleiding	education
productie	production
slachtoffer (het)	victim (the)
tientje (het)	decade (it)
treden	step
type (het)	type (it)
vanaf	from
vanwege	because of
vechten	fight
verschijnsel (het)	phenomenon (it)
vlees (het)	meat (it)
voorjaar (het)	spring (it)
zenden	send
aanbieden	to offer
aandacht	attention
aandoen	to put on
aankleden	dress up
aankomen	arrive
aanleg	construction
aansluiten	connect
aanvragen	to request
aanzien (het)	respect (it)
aard	nature
aardappel	potato
aarde	Earth
aardig	nice
aarzelen	hesitate
absoluut	absolutely
achten	think
achter (bw)	rear (bw)
achtergrond	background
actie	action
adres (het)	address (the)
advies (het)	advice (it)
agent	agent
alle	all
als	as
alsjeblieft	please
altijd	always
antwoorden	answers
appel	Apple
apotheek	pharmacy
April	April
Arts	doctor
Auto	car
Avond	evening
Baan	job
bad (het)	bath (it)
blauw	blue
detail (het)	detail (it)
factor	factor
iemand	someone
jong	young
laat	late
lezer	reader
maandag	Monday
meter	meter
middag	afternoon
mijn	my
missen	to miss
modern	modern
nieuw	new
oranje	Orange
organiseren	to organize
piano	piano
raam (het)	frame (it)
rechts	right
sterk	strongly
tafel	table
toerist	tourist
vader	father
vandaan	from
winter	winter
zwart	black
aandeel (het)	share (the)
aangezien	because
aankijken	look at
aankondiging	announcement
aanleiding	occasion
aannemen	take
aantal (het)	number (it)
aantrekken	attract
aanwezig	present
aanwijzen	point out
aanzien	respect
aanzienlijk	considerably
afdeling	department
afhangen	depend
afkomen	come off
aflopen	expire
afnemen	decrease
afpakken	take away
afscheid (het)	goodbye (it)
afsluiten	shut down
afspraak	appointment
afstand	distance
afvegen	wipe off
afvragen	wonder
afwachten	wait
afwezig	absent
akkoord (het)	chord (it)
akkoord (bw)	chord (bw)
aldoor	constantly
Aldus	thus
Allerlei	all kinds of
Alsof	as if
Alstublieft	Please
Althans	at least
Alweer	again
Ambassade	embassy
Ambtenaar	civil servant
Anders	different
Angst	fear
Angstig	fearful
Apart	weird
Arbeid	labor
Arbeider	worker
Arm	arm
Augustus	August
Baard	beard
Baas	boss
Baby	baby
Baggage	luggage
Bakker	Baker
Bal	ball
Band	band
Bang	anxious
Bank	Bank
Beantwoorden	reply
bed (het)	bed (it)
bedanken	to thank
bedenken	think
bedienen	operate
bedoelen	mean
bedoeling	intention
bedrag (het)	amount (the)
bedragen	amount
bedrijf (het)	company (the)
bedroefd	sad
beeld (het)	image (It)
been (het)	bone (it)
beest (het)	beast ()
beetje (het)	bit (it)
begin (het)	start (it)
beginnen	to start
begrijpelijk	understandable
begrijpen	understand
begrip (het)	understanding (it)
behalve	except
behandelen	to treat
behandeling	therapy
behoefte	need
behoorlijk	fairly
behouden	preserve
beide	both
bekend	known
bekendmaken	to announce
bekennen	confess
bekijken	see
belachelijk	ridiculous
belang (het)	interest (it)
belangrijk	important
belangstelling	interest
belasting	tax
beleefd	polite
beleven	experience
bellen	dial
beloven	promise
beneden (vz)	down (vz)
beneden (bw)	down (bw)
beoordelen	judge
bepaald	determined
bepalen	determine
beperken	limit
bereiken	to achieve
berg	mountain
bericht (het)	message (it)
beroep(het)	appeal (to)
beschermen	to protect
beschikbaar	available
bestaan	to exist
bestaan (het)	exist (it)
besteden	spend
bestellen	to order
betalen	Pay
betekenen	mean
betekenis	meaning
beter	better
betreffen	concern
betrekkelijk	comparatively
betrekking	relation
beurs	scholarship
beurt	turn
bevallen	to give birth
bevatten	contain
bevinden	find
bevolking	population
bewaren	save
bewegen	to move
beweging	movement
beweren	claim
bewijzen	prove
bewoner	occupant
bewust	conscious
bezet	occupied
bezig	busy
bezitten	to own
bezoek (het)	visit (it)
bezoeken	visit
bezwaar (het)	Objections (it)
bidden	pray
bieden	offer
bier (het)	beer (it)
bijdragen	contribute
bijvoorbeeld	for instance
bijzonder	particular
binden	tie
binnen (vz)	Inside (vz)
binnen (bw)	within (bw)
binnenkomen	enter
bioscoop	cinema
bitter	bitter
